	x	y	cluster
69	-9.077385	1.3970937	21
70	10.407602	-1.5258781	6
71	-6.7257915	3.480801	21
72	10.751322	1.0406138	6
73	11.689228	0.6476857	6
74	-0.46959528	13.707332	13
75	9.063995	4.0162287	6
76	-9.719332	9.702389	38
77	7.4852505	-0.08970899	6
78	4.7504134	14.385954	9
79	1.1729269	-0.7008661	6
80	0.85209364	-16.490387	47
81	-7.231479	6.600664	6
82	10.987352	16.19437	63
83	17.072334	13.15889	5
84	7.5875745	2.7066343	23
85	6.056627	1.5700542	6
86	2.022418	2.837715	32
87	4.4598136	4.318098	6
88	18.481668	-9.872495	17
89	10.848181	-0.21247834	58
90	8.319387	-6.0672054	30
91	11.949392	1.663183	6
92	5.710774	0.75230914	29
93	2.8304944	10.124663	5
94	1.8788544	5.1389174	14
95	-0.19384776	4.48302	14
96	9.933273	-3.727036	64
97	10.073651	5.3223724	0
98	6.4384637	9.375946	17
99	-7.951326	-0.7240821	42
100	11.511857	-9.982265	41
101	-3.6507392	17.07018	45
102	3.5904474	-7.5696173	19
103	1.6740694	-1.3420265	62
104	5.478706	-3.7859125	7
105	6.0241995	1.9904076	29
106	-1.614489	-3.3425803	70
107	24.949652	10.783478	5
108	1.699242	7.029585	14
109	8.833604	9.254806	33
110	2.071736	8.991468	20
111	6.109633	2.5198188	29
112	10.412495	6.6705294	23
113	1.6638409	7.580581	14
114	8.918853	-1.5715196	6
115	5.370959	9.139663	17
116	10.872895	16.038084	63
117	4.336156	-3.289462	62
118	8.913987	-0.8544955	6
119	9.365992	-1.0271986	6
120	6.120689	-1.5337511	62
121	5.1143394	6.4497404	23
122	8.157682	-2.1129832	50
123	-2.8144374	10.931932	54
124	1.1856523	12.451816	13
125	-0.5185455	12.555639	13
126	4.536473	2.8596003	29
127	-10.042271	-7.1837716	59
128	16.03484	-1.4752784	60
129	1.5976012	14.848263	49
130	5.719501	-6.2076783	7
131	9.855311	0.60702497	6
132	14.4910345	2.1549132	0
133	-1.3480288	-10.233196	69
134	13.833993	1.6455439	6
135	-5.9236207	13.921972	25
136	7.8505616	-2.2174973	50
137	-5.858335	12.984873	11
138	-1.5536299	5.617831	14
139	2.795156	-4.681616	27
140	8.910634	9.461385	33
141	24.516983	10.869264	5
142	-10.659429	-7.692782	59
143	7.111058	5.9233985	26
144	10.161412	-1.598917	52
145	12.016042	1.4844826	6
146	11.703675	-9.550059	41
147	6.8041897	9.652256	17
148	4.9649606	5.861599	23
149	7.80043	-2.1178353	30
150	-14.137525	3.717939	27
151	10.647798	3.7914028	3
152	6.760303	-2.1232069	30
153	6.4023366	-1.7681149	62
154	25.072239	12.081887	5
155	12.081815	-2.5248175	6
156	-3.998373	-4.1182055	60
157	11.455959	2.4196682	6
158	10.575576	-1.6423475	52
159	12.147608	1.6018046	6
160	2.4257674	8.054537	20
161	9.743218	-3.3415601	23
162	6.7232966	0.9391083	3
163	18.565151	-9.384121	17
164	8.992822	-7.3100343	18
165	7.4664416	0.1475133	6
166	11.990684	2.0990653	6
167	-16.596205	3.0389962	10
168	-7.2007008	-5.439059	4
169	-1.8259412	19.744667	31
170	11.579274	1.7797498	6
171	-1.6657411	19.576628	31
172	2.44296	5.994955	14
173	1.3367802	6.8232346	14
174	11.706667	-0.25204816	6
175	12.483016	-1.5892506	35
176	4.80568	13.790977	9
177	10.206052	-0.35857502	6
178	11.1703615	-2.1734712	52
179	12.61479	-2.292016	35
180	12.598639	-2.7823205	35
181	9.017282	3.1088748	24
182	12.706562	-2.6939502	35
183	4.8695164	14.088405	9
184	12.236509	-1.4085134	35
185	11.232567	-0.5259204	6
186	5.017891	14.137336	9
187	5.111771	13.923394	9
188	9.46772	0.5303765	2
189	-12.163154	12.240095	41
190	11.579573	2.221516	6
191	7.864982	-0.9284205	6
192	7.7175875	-3.4897697	30
193	-12.092764	-3.3302255	1
194	11.493862	0.9197111	6
195	10.393609	3.2761366	3
196	7.9538846	-4.978249	30
197	7.7129188	-4.3710384	30
198	8.720108	-6.97645	18
199	8.463982	-4.762932	30
200	8.315352	1.5306388	6
201	8.580534	-0.3435718	6
202	8.4121475	-5.8334603	30
203	-1.3741096	19.357985	31
204	1.9308771	14.379674	6
205	-8.766136	5.1550827	66
206	3.3342571	-2.6927693	62
207	11.562888	2.0816195	6
208	0.23208813	-5.816514	27
209	8.118624	-17.055347	51
210	-1.1910352	17.155525	65
211	-1.040439	17.213194	65
212	-0.95882577	5.2651567	14
213	-1.8664628	0.9866015	23
214	10.657883	13.877825	17
215	13.794928	2.5915182	6
216	12.055004	-2.3020437	35
217	11.629673	-5.922232	64
218	18.349005	-9.31853	17
219	5.344838	2.338354	29
220	6.463909	6.85766	33
221	18.795465	-9.997418	17
222	8.240317	6.7202415	33
223	24.773106	10.946325	5
224	5.8440104	12.268332	5
225	8.482797	1.9844633	24
226	3.8394508	11.74894	5
